Comment,Designator,Footprint,JLCPCB Part#,MFR.Part#,Qty
"B5819W","D1","D_SOD-123","","",1
"0.1uF","C3,C6,C1,C15,C2,C5,C9,C13","C_0603_1608Metric","","",8
"10K","R4,R6,R8,R10,R17,R16","R_0603_1608Metric","","",6
"220R","R3,R5,R7,R9,R20,R21,R18","R_0603_1608Metric","","",7
"4.7K","R13,R12,R15","R_0603_1608Metric","","",3
"BLM18AG121SN1D","FB2,FB1","L_0603_1608Metric","GZ1608D601TF","",2
"220pF","C18,C17","C_0603_1608Metric","","",2
"PAM8302AAD","U5","SOIC-8_3.9x4.9mm_P1.27mm","","",1
"10nF","C12","C_0603_1608Metric","","",1
"6.8K","R14","R_0603_1608Metric","","",1
"10uF","C11,C8,C7,C16,C14","CP_EIA-3216-18_Kemet-A","","",5
"20k","R11","R_0603_1608Metric","","",1
"2.2K","R2,R1","R_0603_1608Metric","","",2
"XIAO RA4M1","U2","XIAO-RA4M1-SMD","","",1
"CD74HC4051M96","U4","SO-16_3.9x9.9mm_P1.27mm","","",1
"XKB_PJ-342B","J5","Jack_3.5mm_XKB_PJ342B-TX","C388632","PJ-342B-TX-SMT",1
"LM358DR2G","U1","SOIC-8_3.9x4.9mm_P1.27mm","C7950","",1
"47K","R19,R22","R_0603_1608Metric","","",2
"2.2nF","C4,C10","C_0603_1608Metric","","",2
"AMS1117-5.0","U3","SOT-223-3_TabPin2","","",1
