Designator,Mid X,Mid Y,Layer,Rotation,Package,Type
"SW30",207.955,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW27",188.905,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW42",265.105,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW4",74.605,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW28",188.905,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R11",122.23,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"R49",312.73,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"R20",160.33,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"R58",353.085,147.535,"top",90.0,"R_0603_1608Metric","SMD"
"R19",160.33,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"SW22",169.855,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW3",74.605,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW38",246.055,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R56",331.78,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"R9",122.23,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"SW13",131.755,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW55",322.255,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW11",112.705,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW33",227.005,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R40",255.58,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"R60",353.085,167.41,"top",90.0,"R_0603_1608Metric","SMD"
"SW26",188.905,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R51",312.73,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"R1",84.13,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"SW40",246.055,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R64",353.085,164.045,"top",270.0,"R_0603_1608Metric","SMD"
"SW36",227.005,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW21",169.855,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW35",227.005,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R59",353.085,160.425,"top",90.0,"R_0603_1608Metric","SMD"
"R7",103.18,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"R29",217.48,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"R23",179.38,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"C2",63.175,155.115,"top",270.0,"C_0603_1608Metric","SMD"
"SW48",284.155,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW6",93.655,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R42",274.63,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"SW20",150.805,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R41",274.63,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"R33",236.53,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"SW49",303.205,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R44",274.63,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"SW31",207.955,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R46",293.68,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"R24",179.38,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"R55",331.78,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"R37",255.58,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"U1",63.815,149.4,"top",180.0,"QFN16_3x3mm_MMA8452Q","SMD"
"R48",293.68,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"SW14",131.755,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW25",188.905,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R3",84.13,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"SW29",207.955,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW16",131.755,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R5",103.18,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"R38",255.58,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"SW39",246.055,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R52",312.73,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"SW58",341.305,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R13",141.28,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"SW44",265.105,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R6",103.18,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"SW17",150.805,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R32",217.48,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"SW23",169.855,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R17",160.33,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"SW12",112.705,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R14",141.28,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"R30",217.48,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"R34",236.53,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"R45",293.68,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"R2",84.13,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"R57",353.085,135.66,"top",90.0,"R_0603_1608Metric","SMD"
"R53",331.78,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"SW59",341.305,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW32",207.955,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW10",112.705,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R12",122.23,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"SW54",322.255,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"C1",63.175,159.56,"top",270.0,"C_0603_1608Metric","SMD"
"SW37",246.055,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW18",150.805,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R10",122.23,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"SW7",93.655,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW43",265.105,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW15",131.755,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW50",303.205,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R31",217.48,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"SW8",93.655,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R21",179.38,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"SW19",150.805,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R8",103.18,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"R22",179.38,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"R47",293.68,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"R15",141.28,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"R27",198.43,155.75,"top",90.0,"R_0603_1608Metric","SMD"
"R50",312.73,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"R65",63.175,141.78,"top",270.0,"R_0603_1608Metric","SMD"
"SW9",112.705,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW24",169.855,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW47",284.155,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW41",265.105,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW2",74.605,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R63",353.085,156.615,"top",270.0,"R_0603_1608Metric","SMD"
"R18",160.33,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"R61",353.085,131.215,"top",270.0,"R_0603_1608Metric","SMD"
"SW5",93.655,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R36",236.53,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"SW60",341.305,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW52",303.205,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R26",198.43,144.765,"top",90.0,"R_0603_1608Metric","SMD"
"R25",198.43,132.065,"top",90.0,"R_0603_1608Metric","SMD"
"SW56",322.255,168.45,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R28",198.43,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"SW45",284.155,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW1",74.605,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R35",236.53,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"R62",353.085,143.915,"top",270.0,"R_0603_1608Metric","SMD"
"R39",255.58,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"SW34",227.005,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW53",322.255,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R4",84.13,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"SW57",341.305,130.35,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW46",284.155,143.05,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"SW51",303.205,155.75,"top",0.0,"Sw_Push_12x12_SMD","SMD"
"R43",274.63,157.465,"top",90.0,"R_0603_1608Metric","SMD"
"R16",141.28,170.165,"top",90.0,"R_0603_1608Metric","SMD"
"R54",331.78,144.765,"top",90.0,"R_0603_1608Metric","SMD"
